Hook perform
[*] name:__cxa_finalize  address:0xb764f1f0
[*] name:__sigsuspend  address:0xb763e9e0
[*] name:__rt_sigaction  address:0xb763ea10
[*] name:sigpending  address:0xb763ead0
[*] name:socket  address:0xb763eb40
[*] name:bind  address:0xb763eb70
[*] name:connect  address:0xb763eba0
[*] name:listen  address:0xb763ebd0
[*] name:accept  address:0xb763ec00
[*] name:getsockname  address:0xb763ec30
[*] name:getpeername  address:0xb763ec60
[*] name:sendto  address:0xb763ecc0
[*] name:recvfrom  address:0xb763ecf0
[*] name:shutdown  address:0xb763ed20
[*] name:setsockopt  address:0xb763ed50
[*] name:getsockopt  address:0xb763ed80
[*] name:sendmsg  address:0xb763edb0
[*] name:recvmsg  address:0xb763ede0
[*] name:sched_yield  address:0xb763ee70
[*] name:sched_setparam  address:0xb763eea0
[*] name:sched_get_priority_max  address:0xb763ef00
[*] name:sched_get_priority_min  address:0xb763ef30
[*] name:sched_rr_get_interval  address:0xb763ef60
[*] name:sched_setaffinity  address:0xb763ef90
[*] name:__getcpu  address:0xb763eff0
[*] name:ioprio_set  address:0xb763f020
[*] name:ioprio_get  address:0xb763f050
[*] name:uname  address:0xb763f080
[*] name:umask  address:0xb763f0b0
[*] name:__reboot  address:0xb763f0e0
[*] name:__syslog  address:0xb763f120
[*] name:init_module  address:0xb763f150
[*] name:delete_module  address:0xb763f180
[*] name:klogctl  address:0xb763f1b0
[*] name:sysinfo  address:0xb763f1e0
[*] name:personality  address:0xb763f210
[*] name:perf_event_open  address:0xb763f240
[*] name:futex  address:0xb763f280
[*] name:epoll_create  address:0xb763f2d0
[*] name:epoll_ctl  address:0xb763f300
[*] name:epoll_wait  address:0xb763f340
[*] name:inotify_init  address:0xb763f380
[*] name:inotify_add_watch  address:0xb763f3b0
[*] name:inotify_rm_watch  address:0xb763f3e0
[*] name:poll  address:0xb763f410
[*] name:eventfd  address:0xb763f440
[*] name:ioperm  address:0xb763f470
[*] name:iopl  address:0xb763f4a0
[*] name:adjtimex  address:0xb763f4d0
[*] name:stime  address:0xb763f500
[*] name:__bionic_clone  address:0xb763f580
[*] name:__bionic_clone_entry  address:0xb765ae40
[*] name:__futex_wait  address:0xb763f600
[*] name:__futex_wake  address:0xb763f620
[*] name:_setjmp  address:0xb763f690
[*] name:_longjmp  address:0xb763f6b0
[*] name:setjmp  address:0xb763f6e0
[*] name:sigblock  address:0xb76622f0
[*] name:longjmp  address:0xb763f710
[*] name:sigsetmask  address:0xb7662480
[*] name:sigsetjmp  address:0xb763f750
[*] name:siglongjmp  address:0xb763f790
[*] name:syscall  address:0xb763f7d0
[*] name:ffs  address:0xb763f830
[*] name:bcopy  address:0xb763f8e0
[*] name:strcat  address:0xb763fa50
[*] name:bzero  address:0xb7640190
[*] name:memrchr  address:0xb7640d20
[*] name:index  address:0xb7641ee0
[*] name:strnlen  address:0xb76425e0
[*] name:wcschr  address:0xb7642cd0
[*] name:wcsrchr  address:0xb7642eb0
[*] name:wcscmp  address:0xb7643450
[*] name:__fgets_chk  address:0xb7644140
[*] name:__memset_chk  address:0xb7644250
[*] name:__strcat_chk  address:0xb76442a0
[*] name:__strlcat_chk  address:0xb7644410
[*] name:__strlcpy_chk  address:0xb7644460
[*] name:__strncat_chk  address:0xb76444f0
[*] name:__strrchr_chk  address:0xb76445d0
[*] name:__umask_chk  address:0xb7644630
[*] name:__vsnprintf_chk  address:0xb7644680
[*] name:vsnprintf  address:0xb764ed30
[*] name:__snprintf_chk  address:0xb76446e0
[*] name:__vsprintf_chk  address:0xb7644740
[*] name:alarm  address:0xb7644820
[*] name:execle  address:0xb7644940
[*] name:execv  address:0xb76449f0
[*] name:execvp  address:0xb7644a30
[*] name:strsep  address:0xb76596c0
[*] name:execlp  address:0xb7644e40
[*] name:fnmatch  address:0xb7645590
[*] name:isalnum  address:0xb764f480
[*] name:isalpha  address:0xb764f4b0
[*] name:isblank  address:0xb764f6f0
[*] name:iscntrl  address:0xb764f4e0
[*] name:isdigit  address:0xb764f520
[*] name:isgraph  address:0xb764f560
[*] name:islower  address:0xb764f590
[*] name:isprint  address:0xb764f5d0
[*] name:ispunct  address:0xb764f610
[*] name:isspace  address:0xb764f650
[*] name:isupper  address:0xb764f690
[*] name:isxdigit  address:0xb764f6c0
[*] name:openlog  address:0xb7645cf0
[*] name:closelog  address:0xb7645eb0
[*] name:setlogmask  address:0xb7645f00
[*] name:vsyslog_r  address:0xb7645f20
[*] name:syslog_r  address:0xb76468f0
[*] name:syslog  address:0xb7646960
[*] name:send  address:0xb7662110
[*] name:usleep  address:0xb7669740
[*] name:vsyslog  address:0xb7646920
[*] name:openlog_r  address:0xb76469a0
[*] name:closelog_r  address:0xb7646b40
[*] name:setlogmask_r  address:0xb7646b90
[*] name:system  address:0xb7646bb0
[*] name:bsd_signal  address:0xb76623c0
[*] name:clock  address:0xb7646e30
[*] name:asprintf  address:0xb7646e90
[*] name:__vfprintf  address:0xb764af50
[*] name:__sflush_locked  address:0xb7646f70
[*] name:fflush  address:0xb7647030
[*] name:vfprintf  address:0xb764dd50
[*] name:fread  address:0xb7647620
[*] name:freopen  address:0xb7647960
[*] name:fscanf  address:0xb7647cf0
[*] name:vfscanf  address:0xb764ddd0
[*] name:fseek  address:0xb7648240
[*] name:ftell  address:0xb7648350
[*] name:gets  address:0xb7648870
[*] name:printf  address:0xb7648930
[*] name:rewind  address:0xb7648b80
[*] name:scanf  address:0xb7648bf0
[*] name:sprintf  address:0xb7648cf0
[*] name:vasprintf  address:0xb7649240
[*] name:strtoumax  address:0xb7659130
[*] name:strtoimax  address:0xb7658690
[*] name:vprintf  address:0xb764ecf0
[*] name:vsprintf  address:0xb764edf0
[*] name:vscanf  address:0xb764ee90
[*] name:vsscanf  address:0xb764eee0
[*] name:__atexit  address:0xb76b37b4
[*] name:__atexit_invalid  address:0xb76a22cc
[*] name:_thread_atexit_lock  address:0xb7666510
[*] name:_thread_atexit_unlock  address:0xb7666540
[*] name:isascii  address:0xb764f710
[*] name:toascii  address:0xb764f720
[*] name:_C_ctype_  address:0xb768d660
[*] name:__findenv  address:0xb764f760
[*] name:putenv  address:0xb764f980
[*] name:setenv  address:0xb764fa10
[*] name:unsetenv  address:0xb764fc30
[*] name:freedtoa  address:0xb7653f70
[*] name:strtoll  address:0xb7658eb0
[*] name:strtoull  address:0xb76590f0
[*] name:tolower  address:0xb7659440
[*] name:_C_tolower_  address:0xb768d8c0
[*] name:toupper  address:0xb7659470
[*] name:_C_toupper_  address:0xb768dae0
[*] name:strcasecmp  address:0xb76594a0
[*] name:strcspn  address:0xb76595d0
[*] name:strpbrk  address:0xb7659680
[*] name:strspn  address:0xb7659710
[*] name:strtok  address:0xb76597f0
[*] name:strtok_r  address:0xb7659890
[*] name:wcswidth  address:0xb7659920
[*] name:wcsxfrm  address:0xb7659990
[*] name:wcscpy  address:0xb7686c20
[*] name:__arc4_getbyte  address:0xb7659a40
[*] name:arc4random_stir  address:0xb7659c90
[*] name:arc4random_addrandom  address:0xb7659e70
[*] name:arc4random  address:0xb765a0f0
[*] name:arc4random_buf  address:0xb765a410
[*] name:atol  address:0xb765ac70
[*] name:atoll  address:0xb765acb0
[*] name:bindresvport  address:0xb765acf0
[*] name:clone  address:0xb765ae70
[*] name:clearenv  address:0xb765af00
[*] name:cpuacct_add  address:0xb765af40
[*] name:daemon  address:0xb765b070
[*] name:fork  address:0xb765b950
[*] name:verr  address:0xb765b150
[*] name:err  address:0xb765b200
[*] name:verrx  address:0xb765b220
[*] name:errx  address:0xb765b2a0
[*] name:warn  address:0xb765b2c0
[*] name:vwarn  address:0xb765b400
[*] name:vwarnx  address:0xb765b4c0
[*] name:ether_aton_r  address:0xb765b540
[*] name:ether_aton  address:0xb765b600
[*] name:ether_ntoa_r  address:0xb765b6b0
[*] name:ether_ntoa  address:0xb765b720
[*] name:vfdprintf  address:0xb765b7d0
[*] name:fdprintf  address:0xb765b840
[*] name:ftrylockfile  address:0xb765b8e0
[*] name:__bionic_atfork_run_prepare  address:0xb7685510
[*] name:__bionic_atfork_run_child  address:0xb7685560
[*] name:__bionic_atfork_run_parent  address:0xb76855e0
[*] name:fstatfs  address:0xb765b9e0
[*] name:ftime  address:0xb765ba20
[*] name:ftok  address:0xb765bac0
[*] name:fts_set  address:0xb765dc10
[*] name:fts_children  address:0xb765dc60
[*] name:getdtablesize  address:0xb765ddc0
[*] name:gethostname  address:0xb765de10
[*] name:getpgrp  address:0xb765dec0
[*] name:getpt  address:0xb765df30
[*] name:if_indextoname  address:0xb765df60
[*] name:ioctl  address:0xb765e1b0
[*] name:if_nametoindex  address:0xb765e030
[*] name:initgroups  address:0xb765e0e0
[*] name:lseek64  address:0xb765e3e0
[*] name:MD5_Init  address:0xb765ee90
[*] name:MD5_Update  address:0xb765eec0
[*] name:MD5_Final  address:0xb765ef80
[*] name:memmem  address:0xb765f140
[*] name:memswap  address:0xb765f250
[*] name:openat  address:0xb765f2e0
[*] name:__openat_2  address:0xb765f330
[*] name:sleep  address:0xb7662510
[*] name:access  address:0xb76608b0
[*] name:__open_2  address:0xb76612a0
[*] name:pathconf  address:0xb76612f0
[*] name:statfs  address:0xb7662570
[*] name:fpathconf  address:0xb7661430
[*] name:perror  address:0xb7661570
[*] name:pread  address:0xb7661660
[*] name:pselect  address:0xb76616b0
[*] name:ptsname  address:0xb76617a0
[*] name:ptsname_r  address:0xb7661820
[*] name:pututline  address:0xb7661900
[*] name:pwrite  address:0xb7661a20
[*] name:reboot  address:0xb7661a70
[*] name:recv  address:0xb7661ab0
[*] name:__sched_cpualloc  address:0xb7661b00
[*] name:__sched_cpufree  address:0xb7661b30
[*] name:__popcountsi2  address:0xb7686cc8
[*] name:__sched_cpucount  address:0xb7661b60
[*] name:sched_getcpu  address:0xb7661bc0
[*] name:sem_init  address:0xb7661c00
[*] name:sem_destroy  address:0xb7661c60
[*] name:sem_open  address:0xb7661cb0
[*] name:sem_close  address:0xb7661ce0
[*] name:sem_unlink  address:0xb7661d30
[*] name:sem_wait  address:0xb7661d60
[*] name:sem_timedwait  address:0xb7661e00
[*] name:sem_post  address:0xb7661fa0
[*] name:sem_trywait  address:0xb7662050
[*] name:sem_getvalue  address:0xb76620c0
[*] name:setegid  address:0xb7662160
[*] name:seteuid  address:0xb76621a0
[*] name:setpgrp  address:0xb76621f0
[*] name:setresuid  address:0xb7662220
[*] name:setreuid  address:0xb7662270
[*] name:setuid  address:0xb76622b0
[*] name:siginterrupt  address:0xb7662340
[*] name:sys_siglist  address:0xb76a15c0
[*] name:sysv_signal  address:0xb7662420
[*] name:sys_signame  address:0xb76a1640
[*] name:sigsuspend  address:0xb76624d0
[*] name:strndup  address:0xb76625b0
[*] name:strntoimax  address:0xb7662630
[*] name:strntoumax  address:0xb7662670
[*] name:strtotimeval  address:0xb7662870
[*] name:pa_data_size  address:0xb76b37c4
[*] name:__system_property_area__  address:0xb76b0ce0
[*] name:__system_property_set_filename  address:0xb76631e0
[*] name:__system_property_area_init  address:0xb7663240
[*] name:pa_size  address:0xb76b37c8
[*] name:__system_property_find  address:0xb7663590
[*] name:__system_property_find_compat  address:0xb76662f0
[*] name:__system_property_read  address:0xb7663600
[*] name:__system_property_read_compat  address:0xb7666390
[*] name:__system_property_set  address:0xb7665ca0
[*] name:__system_property_wait  address:0xb7665f30
[*] name:__system_property_update  address:0xb7665fc0
[*] name:__system_property_add  address:0xb7666080
[*] name:__system_property_serial  address:0xb7666110
[*] name:__system_property_wait_any  address:0xb7666120
[*] name:__system_property_find_nth  address:0xb7666180
[*] name:__system_property_foreach_compat  address:0xb7666430
[*] name:__system_property_foreach  address:0xb76661f0
[*] name:tcgetpgrp  address:0xb7666490
[*] name:tcsetpgrp  address:0xb76664d0
[*] name:timegm64  address:0xb7666570
[*] name:fake_localtime_r  address:0xb7666920
[*] name:fake_gmtime_r  address:0xb76669e0
[*] name:timelocal64  address:0xb76670e0
[*] name:gmtime64_r  address:0xb7667720
[*] name:localtime64_r  address:0xb7667e00
[*] name:asctime64_r  address:0xb7668cd0
[*] name:ctime64_r  address:0xb7668d70
[*] name:localtime64  address:0xb7668e20
[*] name:gmtime64  address:0xb7668e50
[*] name:asctime64  address:0xb7669570
[*] name:ctime64  address:0xb7669610
[*] name:umount  address:0xb76696d0
[*] name:unlockpt  address:0xb7669700
[*] name:setutent  address:0xb76697c0
[*] name:getutent  address:0xb7669800
[*] name:endutent  address:0xb7669890
[*] name:utmpname  address:0xb76698d0
[*] name:wcscoll  address:0xb7669960
[*] name:__res_get_static  address:0xb7676bd0
[*] name:__res_hnok  address:0xb766db00
[*] name:dn_expand  address:0xb766da00
[*] name:__get_h_errno  address:0xb7676860
[*] name:__res_dnok  address:0xb766dde0
[*] name:_getshort  address:0xb766dea0
[*] name:__p_type  address:0xb766ffb0
[*] name:__p_class  address:0xb7670100
[*] name:__res_get_state  address:0xb7676a10
[*] name:res_setiface  address:0xb76723c0
[*] name:res_setmark  address:0xb7672430
[*] name:__res_nquery  address:0xb76728b0
[*] name:__res_put_state  address:0xb7676bc0
[*] name:__res_nsearch  address:0xb76730a0
[*] name:nsdispatch  address:0xb767a090
[*] name:__hostalias  address:0xb766e600
[*] name:gethostbyname_r  address:0xb766b730
[*] name:gethostbyname  address:0xb766bd50
[*] name:gethostbyname2  address:0xb766c2f0
[*] name:android_gethostbynameforiface  address:0xb766c5f0
[*] name:android_gethostbyaddrforiface_proxy  address:0xb766c900
[*] name:android_gethostbyaddrforiface_real  address:0xb766cb60
[*] name:android_gethostbyaddrforiface  address:0xb766cd30
[*] name:gethostbyaddr  address:0xb766d190
[*] name:gethostent  address:0xb766d5e0
[*] name:inet_nsap_addr  address:0xb766d620
[*] name:inet_nsap_ntoa  address:0xb766d760
[*] name:herror  address:0xb766d840
[*] name:h_errlist  address:0xb76a1724
[*] name:hstrerror  address:0xb766d9d0
[*] name:h_nerr  address:0xb768e370
[*] name:__ns_name_uncompress  address:0xb7680730
[*] name:__dn_comp  address:0xb766da60
[*] name:__ns_name_compress  address:0xb7680ce0
[*] name:__dn_skipname  address:0xb766dab0
[*] name:__ns_name_skip  address:0xb7680db0
[*] name:__res_ownok  address:0xb766dba0
[*] name:__res_mailok  address:0xb766dd00
[*] name:__putlong  address:0xb766de10
[*] name:__ns_put32  address:0xb76818d0
[*] name:__putshort  address:0xb766de40
[*] name:__ns_put16  address:0xb76818b0
[*] name:_getlong  address:0xb766de70
[*] name:__ns_get32  address:0xb7681880
[*] name:__ns_get16  address:0xb7681860
[*] name:res_init  address:0xb766ded0
[*] name:__res_randomid  address:0xb7671f90
[*] name:__res_vinit  address:0xb7671a60
[*] name:__p_query  address:0xb766df50
[*] name:__res_pquery  address:0xb766eee0
[*] name:__fp_query  address:0xb766e000
[*] name:__fp_nquery  address:0xb766e0a0
[*] name:res_mkquery  address:0xb766e140
[*] name:__res_nmkquery  address:0xb7672450
[*] name:res_query  address:0xb766e220
[*] name:__res_send_setqhook  address:0xb766e2e0
[*] name:__res_send_setrhook  address:0xb766e300
[*] name:__res_isourserver  address:0xb766e320
[*] name:__res_send  address:0xb766e350
[*] name:__res_nsend  address:0xb7675d20
[*] name:__res_close  address:0xb766e3f0
[*] name:__res_nclose  address:0xb7672060
[*] name:res_search  address:0xb766e420
[*] name:__res_querydomain  address:0xb766e4e0
[*] name:__res_nquerydomain  address:0xb7672c10
[*] name:__res_opt  address:0xb766e5b0
[*] name:__res_nopt  address:0xb7672780
[*] name:__ns_msg_getflag  address:0xb7680e90
[*] name:__ns_parserr  address:0xb7681170
[*] name:__ns_sprintrr  address:0xb7685190
[*] name:__p_class_syms  address:0xb76a1b60
[*] name:__p_type_syms  address:0xb76a1840
[*] name:__ns_initparse  address:0xb7680f70
[*] name:__p_rcode_syms  address:0xb76a1780
[*] name:__p_cdnname  address:0xb766fb20
[*] name:__p_cdname  address:0xb766fc40
[*] name:__p_fqnname  address:0xb766fc70
[*] name:__p_fqname  address:0xb766fd20
[*] name:__sym_ston  address:0xb766fe00
[*] name:__sym_ntos  address:0xb766fe70
[*] name:__sym_ntop  address:0xb766ff10
[*] name:__p_section  address:0xb7670070
[*] name:__p_option  address:0xb76701c0
[*] name:__p_time  address:0xb76703e0
[*] name:__ns_format_ttl  address:0xb76814c0
[*] name:__p_rcode  address:0xb7670460
[*] name:__p_sockun  address:0xb76704e0
[*] name:__loc_aton  address:0xb76705a0
[*] name:__loc_ntoa  address:0xb7670c50
[*] name:__dn_count_labels  address:0xb7671280
[*] name:__p_secstodate  address:0xb7671310
[*] name:__res_nametoclass  address:0xb76713a0
[*] name:__res_nametotype  address:0xb76714a0
[*] name:__p_cert_syms  address:0xb76a1aa0
[*] name:__p_key_syms  address:0xb76a1b00
[*] name:__res_ninit  address:0xb7671f70
[*] name:__res_ndestroy  address:0xb76720f0
[*] name:__res_get_nibblesuffix  address:0xb7672190
[*] name:__res_get_nibblesuffix2  address:0xb76721c0
[*] name:__res_setservers  address:0xb76721f0
[*] name:__res_getservers  address:0xb7672310
[*] name:__res_hostalias  address:0xb76734e0
[*] name:getnameinfo  address:0xb767e9b0
[*] name:__ns_samename  address:0xb7685330
[*] name:__res_nameinquery  address:0xb76759b0
[*] name:__res_queriesmatch  address:0xb7675ad0
[*] name:_resolv_flush_cache_for_default_iface  address:0xb7678d40
[*] name:_resolv_flush_cache_for_iface  address:0xb7678ea0
[*] name:_resolv_set_default_iface  address:0xb7679000
[*] name:_resolv_set_nameservers_for_iface  address:0xb76790a0
[*] name:freeaddrinfo  address:0xb767d5d0
[*] name:getaddrinfo  address:0xb767dfe0
[*] name:_cache_get_nameserver_addr  address:0xb7679680
[*] name:_resolv_set_addr_of_iface  address:0xb7679720
[*] name:_resolv_set_iface_for_pid  address:0xb76797b0
[*] name:_resolv_clear_iface_for_pid  address:0xb7679880
[*] name:_resolv_get_pids_associated_interface  address:0xb7679910
[*] name:_resolv_clear_iface_uid_range_mapping  address:0xb76799d0
[*] name:_resolv_clear_iface_pid_mapping  address:0xb7679a50
[*] name:_resolv_set_iface_for_uid_range  address:0xb7679ad0
[*] name:_resolv_clear_iface_for_uid_range  address:0xb7679be0
[*] name:_resolv_get_uids_associated_interface  address:0xb7679ca0
[*] name:getservbyname  address:0xb767ec00
[*] name:gai_strerror  address:0xb767d5a0
[*] name:android_getaddrinfoforiface  address:0xb767d620
[*] name:getservbyport  address:0xb767f5f0
[*] name:android_getnameinfoforiface  address:0xb767ead0
[*] name:getservent_r  address:0xb767ece0
[*] name:setservent  address:0xb767eca0
[*] name:endservent  address:0xb767ecd0
[*] name:getservent  address:0xb767eed0
[*] name:__b64_ntop  address:0xb767f0d0
[*] name:__b64_pton  address:0xb767f330
[*] name:__ns_name_ntop  address:0xb767f680
[*] name:__ns_name_pton  address:0xb767fa70
[*] name:__ns_name_ntol  address:0xb767ff60
[*] name:__ns_name_unpack  address:0xb76800d0
[*] name:__ns_name_pack  address:0xb7680270
[*] name:__ns_name_rollback  address:0xb7680d60
[*] name:_ns_flagdata  address:0xb76905e0
[*] name:__ns_skiprr  address:0xb7680ec0
[*] name:__ns_sprintrrf  address:0xb7681d40
[*] name:__ns_makecanon  address:0xb7685250
[*] name:pthread_rwlockattr_init  address:0xb76856e0
[*] name:pthread_rwlockattr_destroy  address:0xb7685700
[*] name:pthread_rwlockattr_setpshared  address:0xb7685720
[*] name:pthread_rwlockattr_getpshared  address:0xb7685750
[*] name:pthread_rwlock_init  address:0xb7685780
[*] name:pthread_rwlock_destroy  address:0xb7685870
[*] name:pthread_rwlock_tryrdlock  address:0xb7685990
[*] name:pthread_rwlock_timedrdlock  address:0xb7685a10
[*] name:pthread_rwlock_trywrlock  address:0xb7685b90
[*] name:pthread_rwlock_timedwrlock  address:0xb7685c10
[*] name:timer_create  address:0xb76862d0
[*] name:timer_delete  address:0xb7686570
[*] name:timer_gettime  address:0xb7686620
[*] name:timer_settime  address:0xb76866b0
[*] name:timer_getoverrun  address:0xb7686800
[*] name:ptrace  address:0xb7686880
[*] name:__get_tls  address:0xb7686920
[*] name:__memcmp16  address:0xb76869c0
[*] name:strncat  address:0xb7686a50
[*] name:wcscat  address:0xb7686c40
[*] name:wmemcmp  address:0xb7686c80
[*] name:__popcount_tab  address:0xb7690a4c
